name,n,win_pct,total_$,sharpe,max_dd_$,gross_loss_$,vs_baseline
BASELINE,225,96.44444444444444,27180.97282370418,16.912089303653918,0.0,-38.31955189003338,0.0
ITM 0.25%,225,97.33333333333334,29560.96083788406,17.383924111018246,0.0,-29.214460763453815,2379.9880141798785
ITM 0.5%,225,97.33333333333334,31833.336175964283,17.833853148977973,0.0,-25.21253953701617,4652.363352260101
ITM 1.0%,225,97.77777777777777,36602.97406133183,18.56426764635828,0.0,-25.162932783178235,9422.001237627646
ITM 1.5%,225,96.88888888888889,41207.70479609248,19.37414375498189,0.0,-33.65322253258606,14026.731972388301
ITM 2.0%,225,96.88888888888889,45551.92039638164,19.93039494790137,0.0,-42.15981005036048,18370.947572677458
target 30%,280,93.92857142857143,34796.35032662791,15.986115696855112,0.0,-137.80025645272008,7615.377502923726
target 50%,235,96.17021276595744,32562.750467489386,16.6149487992913,0.0,-49.39587056051906,5381.777643785204
target 75%,225,96.44444444444444,27180.97282370418,16.912089303653918,0.0,-38.31955189003338,0.0
ITM 1% + target 30%,269,96.6542750929368,45666.76048550767,17.51586792678526,0.0,-67.1003058442625,18485.78766180349
ITM 1% + target 50%,225,97.77777777777777,36602.97406133183,18.56426764635828,0.0,-25.162932783178235,9422.001237627646
ITM 1% + target 75%,225,97.77777777777777,36602.97406133183,18.56426764635828,0.0,-25.162932783178235,9422.001237627646
ITM 1.5% + target 30%,254,96.06299212598425,49807.501264923194,18.189778061209893,0.0,-72.23022418204619,22626.528441219012
ITM 1.5% + target 50%,225,96.88888888888889,41207.70479609248,19.37414375498189,0.0,-33.65322253258606,14026.731972388301
ITM 1.5% + target 75%,225,96.88888888888889,41207.70479609248,19.37414375498189,0.0,-33.65322253258606,14026.731972388301
ITM 1% + VIX>14,225,97.77777777777777,36602.97406133183,18.56426764635828,0.0,-25.162932783178235,9422.001237627646
ITM 1% + tight stop 30%,225,97.77777777777777,36602.97406133183,18.56426764635828,0.0,-25.162932783178235,9422.001237627646
ITM 1% + target 50% + VIX>14,225,97.77777777777777,36602.97406133183,18.56426764635828,0.0,-25.162932783178235,9422.001237627646
ITM 1% + target 50% + stop 30%,225,97.77777777777777,36602.97406133183,18.56426764635828,0.0,-25.162932783178235,9422.001237627646
ITM 1.5% + target 50% + VIX>14,225,96.88888888888889,41207.70479609248,19.37414375498189,0.0,-33.65322253258606,14026.731972388301
ITM 1.5% + target 50% + stop 30%,225,96.88888888888889,41207.70479609248,19.37414375498189,0.0,-33.65322253258606,14026.731972388301
ITM 1% + target 50% + stop 30% + VIX>14,225,97.77777777777777,36602.97406133183,18.56426764635828,0.0,-25.162932783178235,9422.001237627646
