month,variant,n,win_pct,total_$,sharpe,max_dd_$
Sep 2020 — recovery,BASELINE,226,57.52212389380531,14622.213281565902,5.6297013786927135,-2441.7572308114104
Sep 2020 — recovery,ITM 1.5% + target 30%,291,65.29209621993127,18172.91664977347,6.527781917089383,-2689.4649148585413
Sep 2020 — recovery,ITM 1.5% + target 50%,241,59.75103734439834,16482.54756441661,5.928246731199962,-3108.4361994093324
Sep 2020 — recovery,ITM 2% + target 30%,274,62.77372262773723,18073.418828720936,6.264902495212747,-3425.94048029003
Sep 2020 — recovery,ITM 2.5% + target 30%,270,62.59259259259259,19154.22171651143,6.447124614687821,-3540.357839798402
Nov 2020 — election,BASELINE,210,58.0952380952381,8214.708944153557,6.576563859208523,-1588.233078660503
Nov 2020 — election,ITM 1.5% + target 30%,210,63.8095238095238,11267.985606983308,8.371156380008069,-1703.708971785186
Nov 2020 — election,ITM 1.5% + target 50%,210,63.8095238095238,11833.448351300485,7.962204488134118,-1703.708971785186
Nov 2020 — election,ITM 2% + target 30%,210,66.66666666666666,12273.457119806482,8.625777586608022,-1723.0796256832818
Nov 2020 — election,ITM 2.5% + target 30%,210,70.47619047619048,13686.36778834918,8.985491826087163,-1710.6519729648708
Feb 2021 — bull continue,BASELINE,210,84.28571428571429,22537.758132155075,11.78700631156009,-434.09446344728474
Feb 2021 — bull continue,ITM 1.5% + target 30%,267,87.64044943820225,34010.04820556645,16.318661940735492,-359.5637017715242
Feb 2021 — bull continue,ITM 1.5% + target 50%,214,86.91588785046729,29252.000292375338,13.936895171483943,-359.5637017715242
Feb 2021 — bull continue,ITM 2% + target 30%,265,88.30188679245283,37861.57691590288,16.489595157985924,-328.9118376791868
Feb 2021 — bull continue,ITM 2.5% + target 30%,251,90.0398406374502,39245.26890427111,15.888471096787127,-290.4977966905859
May 2021 — calm grind,BASELINE,215,80.0,15938.689728861,10.671830844709268,-988.6048690465582
May 2021 — calm grind,ITM 1.5% + target 30%,224,83.03571428571429,19944.65001025724,14.264106661555898,-1089.9485081443418
May 2021 — calm grind,ITM 1.5% + target 50%,216,85.64814814814815,22126.83588945036,12.45641114268634,-1089.9485081443418
May 2021 — calm grind,ITM 2% + target 30%,224,85.26785714285714,22144.39702224773,14.529801329447427,-1107.1796963960196
May 2021 — calm grind,ITM 2.5% + target 30%,224,86.16071428571429,24196.604600318246,14.724787151239553,-1117.5030355623207
Aug 2021 — chop,BASELINE,186,62.365591397849464,4718.57430476837,5.763433107583083,-1892.3300323993344
Aug 2021 — chop,ITM 1.5% + target 30%,188,61.702127659574465,8764.573827767745,7.8627248784109245,-2244.990330812455
Aug 2021 — chop,ITM 1.5% + target 50%,186,61.29032258064516,8011.4127303995065,7.300771400241389,-2244.990330812455
Aug 2021 — chop,ITM 2% + target 30%,186,61.29032258064516,9018.442226624353,7.65456859430339,-2329.6654407269816
Aug 2021 — chop,ITM 2.5% + target 30%,186,60.752688172043015,9959.645389499614,7.953586668722054,-2399.328386440803
Nov 2021 — peak/correct,BASELINE,174,70.11494252873564,2480.8380044053056,2.0478459650027148,-3850.68545794265
Nov 2021 — peak/correct,ITM 1.5% + target 30%,177,74.01129943502825,8220.693724159271,6.4531717212310395,-2467.6779916710075
Nov 2021 — peak/correct,ITM 1.5% + target 50%,172,73.25581395348837,6276.018246004987,4.061247224732449,-4187.368664532342
Nov 2021 — peak/correct,ITM 2% + target 30%,173,73.41040462427746,7904.836230793827,5.093511553779011,-3837.1558777947585
Nov 2021 — peak/correct,ITM 2.5% + target 30%,172,73.83720930232558,8550.54791714274,4.9516153297765015,-4387.615237030586
Jan 2022 — bear start,BASELINE,210,92.38095238095238,58781.11486890641,24.98659646986743,-149.17757757863546
Jan 2022 — bear start,ITM 1.5% + target 30%,286,94.4055944055944,67643.67607717859,30.120223507577546,-15.468693502571114
Jan 2022 — bear start,ITM 1.5% + target 50%,210,94.76190476190476,72423.24579383343,26.75509630690377,-15.468693502571114
Jan 2022 — bear start,ITM 2% + target 30%,277,94.22382671480143,72773.61766254129,29.334441993633178,0.0
Jan 2022 — bear start,ITM 2.5% + target 30%,270,94.81481481481482,78201.09098703404,29.913368212831696,0.0
Apr 2022 — bear continue,BASELINE,240,92.08333333333333,60317.249447504335,18.05839628671259,-880.4022596295763
Apr 2022 — bear continue,ITM 1.5% + target 30%,356,81.74157303370787,63428.60240091911,26.166157401310944,-995.1580673534263
Apr 2022 — bear continue,ITM 1.5% + target 50%,265,86.0377358490566,68374.0987144485,21.65508803522402,-995.1580673534263
Apr 2022 — bear continue,ITM 2% + target 30%,351,81.76638176638177,68237.45143086294,25.4466430078634,-1021.897146442363
