entry_ts,exit_ts,side,side_opt,qty,strike,spot_at_entry,spot_at_exit,entry_premium,exit_premium,vix_at_entry,pnl_dollars,pnl_dollars_gross,pnl_bps_gross,pnl_bps_net,reason,hold_min,p_up,p_dn
2025-11-10 15:31:00+00:00,2025-11-10 16:04:00+00:00,long,call,1,675,674.87,671.87,2.7275326876181794,1.3536238907513791,17.600000381469727,-139.43145797586482,-137.39087968668002,-5037.185450072709,-5111.999522822344,stop,33,0.5841504189841303,0.2930907895008915
2025-11-10 16:24:00+00:00,2025-11-10 19:27:00+00:00,long,call,1,672,671.96,676.93,2.5227074763827204,5.105393298415834,17.600000381469727,254.45453181591205,258.2685822033113,10237.753866478388,10086.565097145996,target,183,0.5708598318255212,0.2927437361517945
2025-11-11 14:42:00+00:00,2025-11-11 20:21:00+00:00,long,call,1,676,676.02,679.13,2.9588969864727233,3.2380408779157506,17.280000686645508,24.815920212108495,27.91438914430273,943.4052375570953,838.6882113693099,theta_protect,339,0.5739016718967814,0.2894292658319528
2025-11-12 14:34:00+00:00,2025-11-12 19:55:00+00:00,short,put,1,680,680.25,679.18,2.795758235950643,1.662181985234099,17.510000228881836,-115.58659518224678,-113.35762507165441,-4054.629031008089,-4134.355885853049,theta_protect,321,0.3240559295118465,0.5523432995637941
2025-11-13 14:31:00+00:00,2025-11-13 18:16:00+00:00,short,put,1,676,676.41,670.06,3.1354535296476342,6.2886062581202395,20.0,310.6032429533766,315.31527284726053,10056.448608335651,9906.166365293971,target,225,0.29186290781447416,0.6142320222539926
2025-11-13 18:18:00+00:00,2025-11-13 20:32:00+00:00,short,put,1,670,670.07,668.05,2.111104297042914,2.185517329432173,20.0,5.292992425688368,7.4413032389259115,352.48392271993214,250.7215031063325,theta_protect,134,0.3188277098074622,0.5740482643125728
2025-11-14 14:31:00+00:00,2025-11-14 15:38:00+00:00,long,call,1,661,661.0,666.78,3.348735022462108,6.815511604290805,19.829999923706055,341.59553486949324,346.67765818286966,10352.495968103802,10200.733488263282,target,67,0.7144211146720293,0.20455815208856118
2025-11-14 15:38:00+00:00,2025-11-14 20:11:00+00:00,long,call,1,667,666.78,669.95,2.959146457883719,3.210751729482581,19.829999923706055,22.075578066203065,25.160527159886215,850.2629902907938,746.01167533934,theta_protect,273,0.6178710308022173,0.302902094144738
2025-11-17 14:31:00+00:00,2025-11-17 16:50:00+00:00,short,put,1,666,665.65,668.76,3.856476005352306,1.7974815530000399,22.3799991607666,-208.72642401440277,-205.8994452352266,-5339.056821550658,-5412.361537442905,stop,139,0.345491294819037,0.5597482859186632
2025-11-17 17:20:00+00:00,2025-11-17 18:58:00+00:00,short,put,1,668,668.39,662.83,2.599713359035036,5.588203083869644,22.3799991607666,294.75501426200844,298.8489724834608,11495.458583725855,11337.981290807227,target,98,0.32833460110762175,0.5517791231716046
2025-11-17 19:00:00+00:00,2025-11-17 19:59:00+00:00,short,put,1,663,662.91,659.01,2.095128350916127,4.235770708491486,22.3799991607666,210.89878622783212,214.06423575753593,10217.237319323804,10066.151132727186,target,59,0.33401315336377546,0.5685971259986186
2025-11-18 14:31:00+00:00,2025-11-18 17:48:00+00:00,short,put,1,657,657.33,659.22,3.852371143795324,1.8690403229823005,24.690000534057617,-201.19378781469115,-198.33308208130234,-5148.337859417829,-5222.59617012074,stop,197,0.26243270957158,0.6592651493100345
2025-11-18 18:24:00+00:00,2025-11-18 19:55:00+00:00,short,put,1,660,660.26,659.77,2.439764194645363,1.7788231994941839,24.690000534057617,-68.2033932121877,-66.09409951511793,-2709.0363757356954,-2795.491193857017,theta_protect,91,0.3588700927277735,0.5530487300727951
2025-11-19 15:21:00+00:00,2025-11-19 17:33:00+00:00,short,put,1,663,663.13,656.53,3.560176934686126,7.134014335761094,23.65999984741211,352.0366444722732,357.3837401074968,10038.370189570498,9888.178338622647,target,132,0.31194204058419184,0.5787635485797561
2025-11-19 17:33:00+00:00,2025-11-19 19:37:00+00:00,long,call,1,657,656.53,655.76,2.6456674877485398,1.2577785316736367,23.65999984741211,-140.7406186172014,-138.7888956074903,-5245.893380411138,-5319.663913509083,stop,124,0.6104806734368879,0.3007566856460843
2025-11-19 19:37:00+00:00,2025-11-19 20:16:00+00:00,long,call,1,656,655.76,659.45,1.6935743067114117,3.7115365554236632,23.65999984741211,199.0936694401576,201.79622487122515,11915.404247190887,11755.82722595493,target,39,0.6786931307270835,0.2205853688800207
2025-11-20 14:47:00+00:00,2025-11-20 16:35:00+00:00,short,put,1,671,670.71,662.66,4.4439029681714715,9.172537978005266,26.420000076293945,466.05528051029114,472.8635009833795,10640.725154670696,10487.521528897343,target,108,0.38347153359578945,0.5520570612972108
2025-11-20 16:35:00+00:00,2025-11-20 16:59:00+00:00,short,put,1,663,662.66,656.39,3.758742137636318,7.654366006373209,26.420000076293945,383.8558328016843,389.5623868736891,10364.168985496439,10212.348140568954,target,24,0.17924956158785418,0.7736855645448216
2025-11-20 16:59:00+00:00,2025-11-20 19:55:00+00:00,short,put,1,656,656.39,653.67,3.198491430205877,3.16430447952564,26.420000076293945,-6.600093022889439,-3.4186950680236805,-106.88460927980756,-206.35018623340852,theta_protect,176,0.27868406985425276,0.668997379614956
2025-11-21 14:31:00+00:00,2025-11-21 16:05:00+00:00,long,call,1,651,650.98,647.52,3.8760243610787484,1.9002808207002033,23.43000030517578,-200.462506628744,-197.5743540378545,-5097.345517788928,-5171.858790199984,stop,94,0.6107747353626004,0.31721767808938456
2025-11-21 16:05:00+00:00,2025-11-21 16:36:00+00:00,long,call,1,648,647.52,653.15,3.1244335968896735,6.431769053480025,23.43000030517578,325.9554443338503,330.73354565903514,10585.392052763591,10432.465092499775,target,31,0.6885145929368233,0.25807889320398886
2025-11-21 16:36:00+00:00,2025-11-21 18:49:00+00:00,long,call,1,653,653.15,659.26,3.279414333675561,6.667557898757991,23.43000030517578,333.8408703920262,338.814356508243,10331.55075981206,10179.893006012999,target,133,0.6158924267356707,0.3128542795377933
2025-11-21 18:52:00+00:00,2025-11-21 19:53:00+00:00,long,call,1,659,659.03,657.77,2.2574618896799166,1.0738446201632996,23.43000030517578,-120.0273802065833,-118.3617269516617,-5243.132895964152,-5316.917231484332,stop,61,0.5746566710406176,0.3548293917002753
