month,n,win_pct,total_$,avg_$,sharpe,max_dd_$,gross_losses_$,gross_wins_$,days,avg_hold,best_$,worst_$
2020-08,240,60.83333333333333,6121.418886558096,25.5059120273254,6.1161663073935735,-1335.9907083277435,-2476.9364548947933,8598.35534145289,16,289.375,238.38913063746224,-72.80961712516681
2020-09,326,63.49693251533742,33736.03248438127,103.48476222202844,7.475109380872716,-3468.965137323954,-11493.514054907731,45229.546539289,21,308.2914110429448,796.4936548715244,-315.0301808989486
2020-10,330,75.15151515151514,27463.760949889955,83.22351802996955,10.392339967742872,-568.1572822820817,-3302.8068166773633,30766.56776656732,22,345.26363636363635,483.27728974841773,-214.04886600182073
2020-11,285,63.50877192982456,10786.560160920142,37.8475795120005,6.545352352901665,-2214.1148316777007,-4661.732048169455,15448.292209089597,19,577.8631578947368,367.9592436639508,-163.23992111752244
2020-12,296,59.12162162162162,5248.981741341338,17.733046423450467,3.835277113729042,-1420.303016794971,-5377.6408471600125,10626.622588501348,21,618.2871621621622,228.97007913453646,-179.45306482082287
2021-01,267,62.546816479400746,9347.935070987662,35.01099277523469,5.210307240186233,-1317.9766704334888,-5860.3243849124165,15208.259455900079,19,369.4906367041198,626.7648080419522,-172.4717207827556
2021-02,273,83.88278388278388,23460.987594425973,85.93768349606583,10.077265912975866,-437.2933529817344,-1184.3538404603164,24645.341434886293,19,338.98168498168496,565.4991930073429,-222.48779133214938
2021-03,333,86.78678678678679,34316.57708365489,103.05278403499968,10.934827525038243,-815.8548044010458,-1376.5528626661574,35693.129946321045,23,319.4924924924925,720.1768787297889,-67.05492564951341
2021-04,271,78.96678966789668,11451.325618951441,42.25581409207174,12.244929857762276,-168.94947567932445,-1001.327293412921,12452.652912364361,20,258.2656826568266,201.36128250625686,-161.91343723047203
2021-04,219,68.94977168949772,8745.615673772489,39.93431814507986,9.719890987619477,-637.8472165184585,-1904.7584877057354,10650.374161478225,16,281.6849315068493,201.36128250625686,-161.91343723047203
2021-05,287,76.30662020905923,17861.219893258447,62.234215655952774,9.849153130173999,-980.4575982685888,-1670.901222229158,19532.121115487604,20,294.0766550522648,423.2013118012583,-111.41611172844976
2021-06,280,64.28571428571429,3900.5165822943945,13.930416365337123,5.331308728471453,-1424.4731980389279,-2848.9996686258496,6749.516250920244,21,273.5857142857143,177.08228986027711,-81.49900078000512
2021-07,297,79.46127946127946,13998.741598396278,47.133810095610364,11.023184579224477,-1004.2608777518653,-1559.1328415880098,15557.87443998429,21,306.7744107744108,262.6609766440107,-83.2928783367826
2021-08,267,56.17977528089888,7975.593417044126,29.871136393423694,6.112304823052481,-1840.610699683979,-3841.6925160813157,11817.285933125444,20,256.13483146067415,237.09384500737377,-164.06368928797036
2021-09,302,73.50993377483444,22259.022520953164,73.70537258593762,10.717268456415805,-877.2470313886724,-2069.7446198736297,24328.767140826792,21,295.7251655629139,355.9466980158791,-86.02714113612252
2021-10,309,80.58252427184466,21707.421200224104,70.2505540460327,15.521401135305208,-414.14278069989996,-1082.587102199074,22790.00830242318,21,310.94174757281553,254.33348259493522,-70.9300127448412
2021-11,266,72.18045112781954,11124.902046843268,41.822940025726574,5.167169364196126,-4189.728911475865,-5734.776930409558,16859.67897725283,20,565.7443609022556,380.5601448667807,-413.5373914201949
2021-12,280,84.64285714285714,32616.276270273967,116.48670096526416,11.383699452803256,-1438.0371323875806,-2819.9380757368554,35436.21434601082,21,366.6857142857143,564.6853414045831,-175.37468296115395
2022-01,300,93.33333333333333,71113.26943006154,237.04423143353847,20.27435534218424,0.0,-844.487775600493,71957.75720566206,20,365.1533333333333,601.3507439942318,-192.58427536268158
2022-02,272,88.97058823529412,55555.50543963564,204.24818176336635,13.885441529384865,-248.44871238914493,-1449.8288900242078,57005.33432965985,19,364.9632352941176,899.9653248767977,-354.76537295196755
2022-03,345,87.82608695652175,52024.02550210387,150.79427681769238,14.688775058886549,-1035.2576000811387,-1857.5431571428805,53881.56865924675,23,359.504347826087,748.9615551293384,-444.246681654687
2022-04,315,83.80952380952381,64807.66154908934,205.7386080923471,14.857031377046455,-848.0886456572007,-1513.8446833191713,66321.5062324085,20,340.16825396825396,796.8222455847824,-71.32717028462166
2022-04,240,92.08333333333333,60317.249447504335,251.32187269793474,18.05839628671259,-880.4022596295763,-1008.5788793515425,61325.82832685587,15,325.9916666666667,796.8222455847824,-76.75002183213469
2022-05,343,88.33819241982506,73120.03718522725,213.17795097733892,12.084589318718896,-6.248521353416436,-1112.9144810831563,74232.9516663104,21,326.82215743440236,881.1827280662068,-256.898808920704
2022-06,323,75.54179566563467,45415.831007315785,140.60628794834608,12.550955749748486,-209.25314474152037,-1636.9544018216882,47052.785409137476,21,319.03095975232196,728.5904217279322,-65.35854886575403
2022-07,300,90.33333333333333,43135.69338696832,143.78564462322774,19.294554469372823,-255.10890914304582,-614.3300787383349,43750.023465706654,20,353.5566666666667,422.02809752255007,-189.4744768672058
2022-08,355,85.91549295774648,41203.13353970035,116.06516490056437,12.701175363176686,-321.43501585752165,-1100.8065194470664,42303.94005914742,23,322.25070422535214,726.0655541246599,-56.12713637207888
2022-09,315,78.0952380952381,49966.63613426199,158.62424169606982,15.446524157379605,-799.4659621781793,-1819.0198730531922,51785.656007315185,21,348.85079365079366,569.5523846935218,-75.04696817622958
2022-10,323,83.28173374613003,52591.51570986812,162.8220300615112,10.983530743294406,-3196.7304704015332,-3841.4286947467626,56432.944404614886,21,310.8730650154799,888.6286791291941,-183.61186069507127
2022-11,301,79.06976744186046,33920.10104851626,112.69136560968857,10.08183754088552,-2712.7126970933496,-7887.030562290832,41807.13161080709,21,462.3720930232558,654.8403358649878,-323.06962553996664
2022-12,312,78.52564102564102,26579.83147514406,85.19176754853865,10.646446050175609,-3695.7289460486027,-6962.842152478565,33542.67362762263,21,352.3173076923077,372.67202900167143,-268.24724548654444
2023-01,300,92.0,39055.84782464214,130.18615941547378,17.62132509579809,0.0,-545.2266185306164,39601.07444317275,20,361.79333333333335,475.61733668988234,-81.50613224781266
2023-02,272,81.98529411764706,26544.435131733473,97.58983504313777,12.535581375005053,-760.2709662933958,-1893.0621525890845,28437.497284322562,19,347.9007352941176,403.96075839928915,-134.24304565176266
2023-03,345,84.34782608695653,39151.54535168437,113.48274014980977,12.254753379086944,-1147.7376319053546,-2750.446146559256,41901.99149824362,23,334.0,607.227091059321,-121.9843513164898
2023-04,276,96.37681159420289,27421.491925061302,99.35323161254095,20.451293527463395,0.0,-137.50291102919738,27558.9948360905,19,309.3478260869565,270.1152874485697,-25.569856681172496
2023-04,200,97.5,22770.863171665846,113.85431585832923,20.76043731799053,0.0,-102.1571980884987,22873.020369754347,14,304.535,270.1152874485697,-27.846105730640502
2023-05,329,92.70516717325228,25375.506606374394,77.12919941147233,18.866124928684464,-195.4202001720505,-538.1378138653089,25913.6444202397,22,325.3890577507599,223.8712770607288,-43.66165507159792
2023-06,315,92.6984126984127,24768.286234108713,78.62948010828163,17.174492588938094,-1734.1732637774676,-1777.2214648910917,26545.507698999805,21,327.06666666666666,305.6117524150647,-129.64042000061653
2023-07,288,77.08333333333334,16586.12972967096,57.59072822802417,8.374791324009255,-1236.8503811535045,-2375.9859011082017,18962.11563077916,19,253.25694444444446,464.65710102264273,-93.01357465719279
2023-08,338,95.56213017751479,43324.50286817243,128.17900256855748,19.521539656283267,0.0,-441.6335579782321,43766.13642615065,23,336.47633136094674,414.9654003206787,-81.99380956798413
2023-09,279,92.1146953405018,23925.93325323403,85.75603316571338,16.101929116852695,-966.5584812271982,-1028.3592059872474,24954.292459221273,19,299.76344086021504,290.7635496824822,-94.36136445988856
2023-10,330,96.66666666666667,46971.01099299633,142.33639694847372,21.589292031932896,0.0,-140.08504461910178,47111.09603761544,22,347.3454545454546,558.4400474732382,-26.01690093592117
2023-11,293,91.46757679180887,20475.471903719623,69.88215666798506,14.831437654367233,-295.8896709464807,-371.15643909631996,20846.628342815944,20,350.9795221843003,271.72978006617967,-25.052225809817955
2023-12,238,97.89915966386555,24663.835787095413,103.629562130653,15.007627692427729,0.0,-126.23817422664374,24790.073961322058,18,301.03361344537814,412.86438249749045,-64.82285290708425
2024-01,315,91.42857142857143,31143.798933196955,98.86920296253001,18.31516849983708,-110.35011260843748,-632.7367300233057,31776.535663220264,21,299.6,307.7391958086167,-93.08891418769653
2024-02,269,85.13011152416357,19367.084001925938,71.99659480269865,17.183300635309447,-222.14331144713287,-1568.2658045335352,20935.349806459475,19,308.6914498141264,281.4306216776515,-196.02964029586298
2024-03,258,76.35658914728683,25354.72207707967,98.27411657782818,13.224090663870907,-297.8274966226236,-1360.7618170268406,26715.48389410651,20,244.09302325581396,353.090464348732,-200.9328900393864
2024-04,328,77.7439024390244,44666.250077637145,136.17759170011325,12.309969443392694,-612.9674319831247,-1908.219705163951,46574.4697828011,21,296.625,675.1222918321383,-88.70420205692488
2024-04,263,76.80608365019012,36930.06882084245,140.41851262677736,12.88171049565029,-1221.4578712860239,-2718.493379611946,39648.5622004544,17,314.73384030418254,675.1222918321383,-135.86595152365513
2024-05,291,84.19243986254295,25180.917473653404,86.5323624524172,11.22194162608022,-940.9996200772703,-3439.386674034702,28620.304147688104,22,260.9484536082474,451.74584039780325,-269.7235605610712
2024-06,285,85.96491228070175,22716.059015328654,79.70547022922335,13.233172164966886,-758.5468260092421,-1283.2255168519537,23999.284532180605,19,322.24912280701756,319.6357691180802,-100.12556423396295
2024-07,313,69.6485623003195,27377.183573161114,87.46704016984381,10.113165918173914,-2253.2960135430876,-7669.8576975948135,35047.04127075593,21,426.4600638977636,513.5683953695233,-346.14815293205845
2024-08,345,89.56521739130436,43506.05314019928,126.10450185565008,10.106030052825625,-6780.341882989862,-7714.906169478783,51220.959309678066,22,334.5130434782609,696.6974775287238,-468.83665240849547
2024-09,308,78.8961038961039,31652.485035804464,102.7678085578067,9.454015559744127,-2485.123419070391,-5897.422307338357,37549.90734314282,20,294.55194805194805,698.666698738741,-340.4673308843345
2024-10,333,81.98198198198197,28073.46993884712,84.30471453107243,14.854755547651349,-1109.1582562819567,-3571.865917557669,31645.33585640479,23,342.5735735735736,296.89626461945926,-200.57823385659822
2024-11,284,91.19718309859155,24831.71505544684,87.43561639241845,17.24610308156675,-462.59741926424977,-1668.148784803403,26499.86384025024,20,387.07394366197184,265.6265770896116,-133.41103474581843
2024-12,211,75.35545023696683,33530.548020359085,158.91254985952173,9.79859254798457,-3174.5482490084723,-7968.898819933046,41499.446840292134,16,645.9194312796209,1133.2698420791548,-619.8590288067613
2025-01,285,82.45614035087719,29641.924042617517,104.00675102672812,10.436389227143602,-2085.0786190694207,-7345.428475270314,36987.35251788783,19,351.8982456140351,537.1817980673953,-341.22140610912544
2025-02,261,89.65517241379311,48812.33216111094,187.02042973605725,14.438560865939698,-405.7039488938444,-3647.8147708365445,52460.14693194749,18,340.7318007662835,787.2984846569834,-388.02909576597847
2025-03,300,88.0,63365.5983189299,211.21866106309966,14.181758748789376,-200.31567245339102,-2418.7322804719224,65784.33059940182,20,357.56,937.3948507027383,-243.9125353756492
2025-04,359,86.62952646239555,182542.1193210485,508.47386997506544,12.900486237776327,-2602.556212405034,-4482.893689313489,187025.013010362,20,300.3704735376045,1964.1489820123754,-225.21677626355802
2025-04,278,85.25179856115108,117895.75027888482,424.0854326578591,11.92361253476141,-2597.778084310121,-4612.983480997133,122508.73375988196,16,307.6151079136691,1937.6703310076214,-243.07539207836157
2025-05,315,77.46031746031747,24655.125311179574,78.27023908310976,11.668143209483048,-2211.5335886995063,-4173.991715012357,28829.117026191932,21,342.33015873015876,397.8706002291616,-178.49356748476072
2025-06,289,83.73702422145328,24732.265277094462,85.57877258510194,18.160463944770736,-476.010623832437,-1173.7163904823583,25905.981667576816,20,263.57093425605535,323.34942708818556,-94.45812833611143
2025-07,278,87.05035971223022,23545.696206272078,84.69674894342474,12.760661188668573,-481.09751090575924,-944.8043892496044,24490.500595521684,20,260.73021582733816,484.3449942756364,-46.271352560419786
2025-08,287,88.85017421602788,30397.264259859698,105.91381275212439,17.54921550857534,-219.76343860825727,-1006.083969579039,31403.348229438736,21,301.06271777003485,369.62483170854193,-96.97834476333708
2025-09,277,87.72563176895306,23611.419174623406,85.2397804138029,15.867497336995626,-133.98946439467,-419.6010603096505,24031.020234933058,21,222.38628158844764,281.37187409076876,-33.48462819347668
2025-10,338,90.8284023668639,57950.55192747241,171.45133706352783,9.796977732552708,-181.81367128093552,-619.133272402722,58569.68519987513,22,306.00295857988164,1019.8578219435657,-38.91925702285067
2025-11,295,89.83050847457628,64254.60243865302,217.8122116564509,10.41892465498222,-2752.543970243554,-3894.3475913570646,68148.95003001008,19,561.4542372881356,1279.4023422807084,-270.4525808107711
2025-12,281,74.37722419928826,27377.041628025923,97.42719440578621,10.208990442725142,-923.9989324606468,-3066.6690060275996,30443.710634053517,21,362.2562277580071,502.16870606176934,-110.21456458646935
2026-01,260,90.76923076923077,22244.368299990674,85.55526269227182,18.108818661936965,-51.970454153659375,-1270.7769975884123,23515.14529757909,18,343.25384615384615,309.7561239941307,-417.6078426411368
2026-02,271,86.34686346863468,47088.53619299415,173.75843613650977,12.913462597531977,-943.3334736381075,-2331.0376195096997,49419.57381250385,19,370.1955719557196,847.9581947788126,-193.68671465272823
2026-03,330,76.06060606060606,51256.04208747335,155.32133965901016,10.980179433002442,-4564.617501769848,-9366.179140923454,60622.22122839681,22,339.58484848484846,667.9763215754211,-340.27448957035244
2026-04,300,90.0,34514.87410382279,115.04958034607597,14.2828540807689,-822.190651253808,-1165.34594679906,35680.22005062186,20,303.02,472.0291251798879,-89.82731055670004
