entry_ts,exit_ts,side,side_opt,qty,strike,spot_at_entry,spot_at_exit,entry_premium,exit_premium,vix_at_entry,pnl_dollars,pnl_dollars_gross,pnl_bps_gross,pnl_bps_net,reason,hold_min,p_up,p_dn
2026-04-09 14:31:00+00:00,2026-04-09 16:01:00+00:00,long,call,1,674,673.995,679.65,3.0803765513932717,6.401391158376555,19.489999771118164,327.36057684344337,332.1014606983283,10781.1968815344,10627.290897126726,target,90,0.6935415953977225,0.17357727536877451
2026-04-09 17:08:00+00:00,2026-04-09 18:55:00+00:00,short,put,1,681,680.53,679.145,2.4286921485381754,2.469592859009765,19.489999771118164,1.6409285433850016,4.090071047158972,168.40631899851024,67.56428740351768,theta_protect,107,0.2299598777604349,0.5755339505059387
2026-04-09 19:30:00+00:00,2026-04-09 19:31:00+00:00,short,put,3,680,680.19,680.3,0.82763190992506,0.762264997405282,19.489999771118164,-21.994919116928912,-19.6100737559334,-789.8065762797476,-885.8575433983488,theta_protect,1,0.2552191784009353,0.5503503850058145
2026-04-09 19:32:00+00:00,2026-04-09 19:33:00+00:00,short,put,2,681,680.53,680.38,1.142953306913455,1.2167417311441682,19.489999771118164,12.397989808085015,14.757684846142638,645.5943894154242,542.3664174683471,theta_protect,1,0.22598978980817638,0.5723370395555669
2026-04-09 19:38:00+00:00,2026-04-09 19:42:00+00:00,short,put,5,680,680.48,680.285,0.571626596881174,0.5797551751625178,19.489999771118164,1.1858347105626876,4.064289140671917,142.20084099819363,41.48983679320265,theta_protect,4,0.27580651449406635,0.5635415895861952
2026-04-09 19:44:00+00:00,2026-04-09 19:45:00+00:00,short,put,6,680,680.4,680.3,0.49157242936126977,0.5122766392588574,19.489999771118164,9.410978732692172,12.422525938552553,421.183302010852,319.07738550079773,theta_protect,1,0.3178421824100227,0.584116850684577
2026-04-09 19:45:00+00:00,2026-04-09 19:46:00+00:00,short,put,5,680,680.3,680.4,0.5122766392588574,0.44955302600135383,19.489999771118164,-33.76638079190229,-31.361806628751765,-1224.4090097149403,-1318.2869646663655,theta_protect,1,0.37875344595459765,0.5644935665051335
2026-04-09 19:47:00+00:00,2026-04-09 19:48:00+00:00,short,put,7,680,680.495,680.36,0.3910804393534022,0.4204456273160986,19.489999771118164,17.715290340544215,20.555631573887467,750.8733500260889,647.1189832759584,theta_protect,1,0.382481794388806,0.5595859178120683
2026-04-10 13:36:00+00:00,2026-04-10 18:55:00+00:00,short,put,1,681,680.72,679.23,3.3454340697610405,2.3942523986713127,19.229999542236328,-97.98801034318896,-95.11816710897278,-2843.223483874155,-2929.0073664547845,theta_protect,319,0.33985126760668094,0.5718558212091603
2026-04-10 19:39:00+00:00,2026-04-10 19:40:00+00:00,long,call,3,679,679.07,678.93,0.80035258491381,0.7115928679131684,19.229999542236328,-28.895833279432935,-26.627915100192467,-1109.0076882827848,-1203.4626498413706,theta_protect,1,0.5763353161514306,0.24708078683757626
