month,variant,n,win_pct,total_$,sharpe,max_dd_$
Mar 2026,DTE=7 (current winner),267,74.53183520599251,48559.01889300065,10.214844744231314,-7383.423667164858
Mar 2026,DTE=1,353,77.62039660056658,76516.76114821,12.738922987984457,-8434.906816117473
Mar 2026,DTE=3,301,73.75415282392026,55571.89088536856,10.602194975130873,-8495.993147588764
Mar 2026,DTE=2,317,75.0788643533123,60967.326942734864,11.068578692111371,-8349.768402603877
Apr 2026,DTE=7 (current winner),242,95.0413223140496,58211.0784349271,19.517326100010774,0.0
Apr 2026,DTE=1,284,96.83098591549296,77376.60019637104,21.395691224773145,0.0
Apr 2026,DTE=3,268,97.01492537313433,68288.7732340396,20.378775968071324,0.0
Apr 2026,DTE=2,277,97.83393501805054,72534.02049260706,20.55135314946572,0.0
May 2022 (bear OOS),DTE=7 (current winner),294,92.51700680272108,50476.694330084974,21.43091981478857,0.0
May 2022 (bear OOS),DTE=1,474,79.32489451476793,71578.57927067045,32.919077289532446,0.0
May 2022 (bear OOS),DTE=3,382,81.41361256544502,68181.7268943008,25.390045583718145,0.0
May 2022 (bear OOS),DTE=2,405,79.50617283950618,69898.11241214612,24.96716090960573,0.0
Sep 2022 (deep bear OOS),DTE=7 (current winner),286,74.12587412587412,44044.79220708438,15.567457106237985,-827.4297670939395
Sep 2022 (deep bear OOS),DTE=1,389,75.57840616966581,55208.63582373349,16.624628572527143,-890.5924053907775
Sep 2022 (deep bear OOS),DTE=3,341,74.19354838709677,51951.143446931266,15.875385546413959,-927.2970829246597
Sep 2022 (deep bear OOS),DTE=2,356,74.71910112359551,53217.495228075,15.981789204006729,-943.1755297713007
